strain	accession	date	region	country	division	city
EM_079702	KR817210	2014-05-14	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR10306	KT725336	2014-06-25	Subsaharan Africa	Liberia	Liberia	Liberia
15373_EMLK	KU296802	2015-06-10	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_COY_2015_017240	EM_COY_2015_017240	2015-05-31	Subsaharan Africa	Guinea	Dubreka	Dubreka
77551_EMLK	KU296808	2015-01-01	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G4423.1	KR105251	2014-07-19	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_000983	KR817087	2014-10-01	Subsaharan Africa	Guinea	Macenta	Macenta
PL4197	KU296299	2015-03-02	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
PL9192	KU296401	2015-07-13	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
PL5157	KU296421	2015-03-22	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM096	KM034551	2014-05-26	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G4698.1	KR105263	2014-08-03	Subsaharan Africa	Sierra Leone	Kenema	Kenema
MK9396	KU296321	2015-07-18	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
408_EMLH	KU296408	2015-01-24	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
PL4432	KU296481	2015-03-07	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G6069.1	KR105344	2014-09-25	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G4334.1	KR105237	2014-07-14	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V20141650	KR653225	2014-10-05	Subsaharan Africa	Sierra Leone	Kenema	Kenema
G5016.1	KR105293	2014-08-16	Subsaharan Africa	Sierra Leone	Kenema	Kenema
KG35	KG35	2015-06-08	Subsaharan Africa	Guinea	Boke	Boke
J0143	KP759604	2014-11-04	Subsaharan Africa	Sierra Leone	Kambia	Kambia
REDC_GUI_2015_01165	REDC_GUI_2015_01165	2015-08-18	Subsaharan Africa	Guinea	Conakry	Conakry
PL4844	KU296527	2015-03-16	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
IPDPFHguineaSP_GUI_2015_4786	IPDPFHguineaSP_GUI_2015_4786	2015-03-26	Subsaharan Africa	Guinea	Conakry	Conakry
J0035	KP759609	2014-10-01	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10093	KT725363	2014-08-17	Subsaharan Africa	Liberia	Nimba	Nimba
DML24683	KT357843	2015-01-26	Subsaharan Africa	Sierra Leone	Kono	Kono
PL4121	KU296305	2015-02-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK1000	KU296384	2015-01-10	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G3822	KM233096	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR10277	KT725369	2014-08-26	Subsaharan Africa	Liberia	Margibi	Margibi
G3676	KM034554	2014-05-27	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V1327	KR534591	2014-10-07	Subsaharan Africa	Guinea	Coyah	Coyah
LIBR10048	KT725361	2014-10-01	Subsaharan Africa	Liberia	Liberia	Liberia
KT4622	KU296587	2015-02-01	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
LIBR10066	KT725379	2014-09-20	Subsaharan Africa	Liberia	Montserrado	Montserrado
J0082	KP759751	2014-10-16	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
Makona-UK2	KP658432	2014-12-29	Subsaharan Africa	Sierra Leone	Western Area	Western Area
V20140729	KR653286	2014-09-10	Subsaharan Africa	Sierra Leone	Bo	Bo
EM_079622	KR817203	2014-04-28	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
J0149	KP759695	2014-11-07	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
V20141241	KR653300	2014-09-24	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_079587	KR817202	2014-04-22	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
EM_079859	KR817218	2014-06-01	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
V1365	KR534554	2014-10-09	Subsaharan Africa	Guinea	Forecariah	Forecariah
EM_079413	KR817184	2014-03-31	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
REDC-GUI-2015-00402	REDC-GUI-2015-00402	2015-07-08	Subsaharan Africa	Guinea	Conakry	Conakry
EM_074438	KR817118	2014-08-01	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
G5112.1	KR105298	2014-08-19	Subsaharan Africa	Sierra Leone	Kenema	Kenema
EM_079749	KR817212	2014-05-21	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR0112	KT725330	2014-11-10	Subsaharan Africa	Liberia	Montserrado	Montserrado
Makona-Mali-DPR1	KP260799	2014-10-23	Subsaharan Africa	Guinea	Guinea	Guinea
J0132	KP759601	2014-11-02	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_004192	KR817092	2014-12-22	Subsaharan Africa	Guinea	Faranah	Faranah
J0115	KP759597	2014-10-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
12634_EMLH	KU296653	2015-03-24	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
REDC_GUI_2015_00483	REDC_GUI_2015_00483	2015-07-12	Subsaharan Africa	Guinea	Conakry	Conakry
EM_078608	KR817164	2014-12-04	Subsaharan Africa	Guinea	Macenta	Macenta
EM_075043	KR817129	2014-08-22	Subsaharan Africa	Liberia	Lofa	Lofa
15674_EMLK	KU296843	2015-06-28	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_COY_2015_017238	EM_COY_2015_017238	2015-05-31	Subsaharan Africa	Guinea	Dubreka	Dubreka
12275_EMLH	KU296538	2015-03-02	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_COY_2015_013731	EM_COY_2015_013731	2015-03-14	Subsaharan Africa	Guinea	Coyah	Coyah
15360_EMLK	KU296399	2015-06-08	Subsaharan Africa	Sierra Leone	Kambia	Kambia
PL4123	KU296752	2015-02-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_075931	KR817138	2014-10-10	Subsaharan Africa	Guinea	Beyla	Beyla
MK0045	KU296776	2014-12-09	Subsaharan Africa	Sierra Leone	Bombali	Bombali
V768	KR534588	2014-08-27	Subsaharan Africa	Guinea	Conakry	Conakry
EM_000925	KR817082	2014-09-29	Subsaharan Africa	Guinea	Macenta	Macenta
REDC-GUI-2015-00497	REDC-GUI-2015-00497	2015-07-12	Subsaharan Africa	Guinea	Conakry	Conakry
G5763.1	KR105325	2014-09-16	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
MK0375	KU296606	2014-12-22	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G4236.1	KR105221	2014-07-10	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V20140433	KR653246	2014-09-03	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
PL7792	KU296793	2015-06-09	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
Makona-Mali-DPR2	KP260800	2014-11-12	Subsaharan Africa	Guinea	Guinea	Guinea
LIBR10148	KT725295	2014-09-20	Subsaharan Africa	Liberia	Nimba	Nimba
G5570.1	KR105310	2014-09-08	Subsaharan Africa	Sierra Leone	Kenema	Kenema
EM_COY_2015_013576	EM_COY_2015_013576	2015-03-09	Subsaharan Africa	Guinea	Coyah	Coyah
V517	KR534509	2014-07-24	Subsaharan Africa	Guinea	Siguiri	Siguiri
V1394	KR534557	2014-10-11	Subsaharan Africa	Guinea	Coyah	Coyah
LIBR0605	KR006958	2014-12-20	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM_FORE_2015_875	EM_FORE_2015_875	2015-06-17	Subsaharan Africa	Guinea	Forecariah	Forecariah
EM_079404	KR817179	2014-03-28	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR10020	KT725292	2014-08-18	Subsaharan Africa	Liberia	Liberia	Liberia
EM_COY_2015_016456	EM_COY_2015_016456	2015-05-12	Subsaharan Africa	Guinea	Dubreka	Dubreka
LIBR0505	KR006957	2014-12-10	Subsaharan Africa	Liberia	Sinoe	Sinoe
PL7401	KU296819	2015-05-27	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
12004_EMLH	KU296302	2015-02-14	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK0704	KU296663	2014-12-31	Subsaharan Africa	Sierra Leone	Bombali	Bombali
PL4866	KU296390	2015-03-16	Subsaharan Africa	Sierra Leone	Kambia	Kambia
MK0575	KU296681	2014-12-28	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0095	KP759653	2014-10-27	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G4466.1	KR105260	2014-07-22	Subsaharan Africa	Sierra Leone	Bo	Bo
LIBR10187	KT725392	2014-08-19	Subsaharan Africa	Liberia	Liberia	Liberia
G4971.1	KR105284	2014-08-14	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V20142895	KR653268	2014-10-24	Subsaharan Africa	Sierra Leone	Koinadugu	Koinadugu
18648_EMLH	KU296701	2015-07-09	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0152	KP759614	2014-11-07	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
KT5226	KU296297	2015-02-21	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0164	KP759623	2014-11-09	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
Makona-UK3	KR025228	2015-03-12	Subsaharan Africa	Sierra Leone	Western Area	Western Area
MK0574	KU296332	2014-12-28	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0032	KP759691	2014-09-30	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
10454_EMLK	KU296679	2015-02-12	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL7375	KU296498	2015-05-27	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK1197	KU296301	2015-01-17	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0022	KP759757	2014-09-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
DML24553	KT357830	2015-01-17	Subsaharan Africa	Sierra Leone	Kono	Kono
466_EMLH	KU296433	2015-01-28	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
361_EMLH	KU296420	2015-01-21	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK1040	KU296528	2015-01-11	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_080223	KR817241	2014-07-04	Subsaharan Africa	Liberia	Liberia	Liberia
G4250.1	KR105222	2014-07-11	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
MK2371	KU296397	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_000934	KR817083	2014-09-29	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR10154	KT725318	2014-09-13	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM098	KM034552	2014-05-26	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0048	KP759716	2014-10-05	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
EM_074461	KR817120	2014-08-04	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
EM_COY_2015_014370	EM_COY_2015_014370	2015-04-07	Subsaharan Africa	Guinea	Forecariah	Forecariah
J0138	KP759686	2014-11-01	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_COY_2015_016617	EM_COY_2015_016617	2015-05-16	Subsaharan Africa	Guinea	Dubreka	Dubreka
LIBR10208	KT725329	2014-09-19	Subsaharan Africa	Liberia	Montserrado	Montserrado
G5370.1	KR105306	2014-08-28	Subsaharan Africa	Sierra Leone	Kenema	Kenema
PL5179	KU296638	2015-03-22	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G3782	KM233072	2014-06-14	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G4424.1	KR105252	2014-07-19	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
KT5225	KU296517	2015-02-21	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
75779_EMLH	KU296407	2015-01-19	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0105	KP759766	2014-10-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V20144192	KR653238	2014-11-08	Subsaharan Africa	Sierra Leone	Bombali	Bombali
75722_EMLH	KU296791	2015-01-15	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
J0009	KP759734	2014-09-28	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G4973.1	KR105286	2014-08-12	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
KT2316	KU296774	2014-12-02	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0088	KP759648	2014-10-20	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V20140517	KR653263	2014-09-05	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_078763	KR817176	2014-12-17	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
LIBR10033	KT725386	2014-08-15	Subsaharan Africa	Liberia	Nimba	Nimba
J0019	KP759754	2014-09-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
