strain	accession	date	region	country	division	city
Gueckedou-C05	KJ660348	2014-03-19	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR10106	KT725337	2014-08-20	Subsaharan Africa	Liberia	Nimba	Nimba
EM-FORE-2015-664	EM-FORE-2015-664	2015-06-04	Subsaharan Africa	Guinea	Forecariah	Forecariah
KT5858	KU296754	2015-03-10	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
12615_EMLH	KU296521	2015-03-22	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
REDC_GUI_2015_00589	REDC_GUI_2015_00589	2015-07-15	Subsaharan Africa	Guinea	Conakry	Conakry
CON-11010	CON-11010	2015-08-23	Subsaharan Africa	Guinea	Conakry	Conakry
MK0725	KU296629	2015-01-01	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_079876	KR817219	2014-06-05	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR10254	KT725268	2014-10-02	Subsaharan Africa	Liberia	Liberia	Liberia
G5516.1	KR105307	2014-09-04	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
EM106	KM233036	2014-06-02	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
MK2506	KU296360	2015-02-27	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G5684.1	KR105316	2014-09-13	Subsaharan Africa	Sierra Leone	Kenema	Kenema
J0140	KP759603	2014-10-30	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
G5295.1	KR105302	2014-08-25	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_080067	KR817234	2014-06-20	Subsaharan Africa	Liberia	Liberia	Liberia
LIBR10209	KT725371	2014-09-19	Subsaharan Africa	Liberia	Montserrado	Montserrado
77711_EMLK	KU296644	2015-01-10	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL4785	KU296688	2015-03-14	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
77588_EMLK	KU296801	2015-01-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
491_EMLH	KU296588	2015-01-30	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK0879	KU296410	2015-01-05	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
12757_EMLH	KU296468	2015-04-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G3764	KM233063	2014-06-12	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_COY_2015_016743	EM_COY_2015_016743	2015-05-19	Subsaharan Africa	Guinea	Boke	Boke
EM_079442	KR817192	2014-04-03	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
EM_000128	KR817071	2014-09-04	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
